Price,LastUpdated
61.65,3/25/25 4:45
62.12,3/25/25 6:25
63.88,3/25/25 6:45
63.31,3/25/25 6:55
63.3,3/25/25 7:00
63.1,3/25/25 7:05
63.35,3/25/25 7:10
63.36,3/25/25 7:15
63.39,3/25/25 7:30
63.4,3/25/25 7:40
63.47,3/25/25 7:55
63.48,3/25/25 8:00
63.5,3/25/25 8:25
63.47,3/25/25 8:30
63.48,3/25/25 8:40
63.51,3/25/25 8:50
63.41,3/25/25 8:55
63.39,3/25/25 9:00
63.5659,3/25/25 9:30
63.56,3/25/25 9:35
63.555,3/25/25 9:40
63.6998,3/25/25 9:45
63.64,3/25/25 9:50
63.7,3/25/25 9:55
63.73,3/25/25 10:00
63.76,3/25/25 10:05
63.855,3/25/25 10:10
63.85,3/25/25 10:15
63.97,3/25/25 10:20
63.98,3/25/25 10:25
63.9544,3/25/25 10:30
64.04,3/25/25 10:35
63.97,3/25/25 10:40
63.88,3/25/25 10:45
63.63,3/25/25 10:50
63.51,3/25/25 10:55
63.43,3/25/25 11:00
63.39,3/25/25 11:05
63.47,3/25/25 11:10
63.36,3/25/25 11:15
63.3721,3/25/25 11:20
63.42,3/25/25 11:25
63.33,3/25/25 11:30
63.3058,3/25/25 11:35
63.295,3/25/25 11:40
63.24,3/25/25 11:45
63.25,3/25/25 11:50
63.235,3/25/25 11:55
63.25,3/25/25 12:00
63.28,3/25/25 12:05
63.22,3/25/25 12:10
63.12,3/25/25 12:15
63.24,3/25/25 12:20
63.29,3/25/25 12:25
63.36,3/25/25 12:30
63.26,3/25/25 12:35
63.26,3/25/25 12:40
63.28,3/25/25 12:45
63.22,3/25/25 12:50
63.2725,3/25/25 12:55
63.3485,3/25/25 13:00
63.37,3/25/25 13:05
63.335,3/25/25 13:10
63.315,3/25/25 13:15
63.19,3/25/25 13:20
63.25,3/25/25 13:25
63.2373,3/25/25 13:30
63.24,3/25/25 13:35
63.255,3/25/25 13:40
63.2,3/25/25 13:45
63.2,3/25/25 13:50
63.165,3/25/25 13:55
63.18,3/25/25 14:00
63.16,3/25/25 14:05
63.19,3/25/25 14:10
63.145,3/25/25 14:15
63.18,3/25/25 14:20
63.26,3/25/25 14:25
